Date,Open,High,Low,Close,Volume
2019-07-15,2021.4,2022.9,2001.55,2020.99,2981343
2019-07-12,2008.27,2017.0,2003.87,2011.0,2509297
2019-07-11,2025.62,2035.8,1995.3,2001.07,4317766
2019-07-10,1996.51,2024.94,1995.4,2017.41,4931902
2019-07-09,1947.8,1990.01,1943.48,1988.3,4345698
2019-07-08,1934.12,1956.0,1928.25,1952.32,2883371
2019-07-05,1928.6,1945.9,1925.3,1942.91,2628359
2019-07-03,1935.89,1941.59,1930.5,1939.0,1690294
2019-07-02,1919.38,1934.79,1906.63,1934.31,2651299
2019-07-01,1922.98,1929.82,1914.66,1922.19,3203347
2019-06-28,1909.1,1912.94,1884.0,1893.63,3037358
2019-06-27,1902.0,1911.24,1898.04,1904.28,2141721
2019-06-26,1892.48,1903.8,1887.32,1897.83,2441910
2019-06-25,1911.84,1916.39,1872.42,1878.27,3012347
2019-06-24,1912.66,1916.86,1901.3,1913.9,2282969
2019-06-21,1916.1,1925.95,1907.58,1911.3,3933576
2019-06-20,1933.33,1935.2,1905.8,1918.19,3217153
2019-06-19,1907.84,1919.58,1892.47,1908.79,2895347
